100 204
0 4 7782
0 44 5495
1 3 4633
2 5 18959
2 13 9087
2 72 16640
2 84 8058
3 11 6234
3 14 8629
4 44 7167
5 41 12944
5 67 5470
7 15 5807
8 87 13726
9 17 3451
9 22 4421
9 47 8191
9 54 5790
9 56 9268
10 4 12840
10 48 14130
10 98 12551
11 1 10850
11 37 12305
12 7 5411
12 21 12039
13 5 19677
13 77 17816
13 84 2957
15 12 8321
15 50 11860
15 94 14417
16 80 24865
19 2 12760
20 8 14928
20 73 11013
22 17 2802
22 54 3371
23 18 23610
23 69 9952
23 78 13542
23 97 6747
24 22 15071
24 59 9109
24 82 21919
26 6 11430
26 9 11994
26 29 16870
26 56 8965
27 43 5958
28 30 12134
28 31 18871
28 70 5406
29 57 5278
30 25 14171
30 33 10420
30 39 12158
30 83 5381
31 24 15286
31 70 14692
31 82 15461
32 46 9316
32 81 7153
32 90 12211
34 8 3519
34 20 12038
34 36 11508
35 32 10338
35 46 10233
35 88 14969
35 93 5325
36 11 10963
36 14 6428
36 55 17178
37 68 14899
38 23 8776
38 69 1595
38 97 12464
39 19 21110
39 25 6974
39 60 10998
40 66 7025
40 89 8097
40 99 3284
41 45 12654
42 5 5627
42 41 9201
42 86 10859
44 60 6088
45 10 2578
45 42 9280
45 58 12327
45 93 12278
46 71 9547
47 22 10421
47 26 3806
48 19 13272
48 25 10212
49 1 4180
49 3 7882
49 21 6126
49 68 9656
50 7 9102
50 12 3803
50 21 11685
50 85 10109
50 91 9301
51 65 13639
51 81 14840
52 20 15187
52 55 11038
52 73 12591
53 29 6417
54 17 2358
55 75 13907
55 78 15935
56 17 12646
56 47 7011
57 26 21924
57 53 6452
57 92 29804
58 0 10171
58 93 2443
58 98 2294
59 44 10443
60 33 11222
60 59 8035
61 24 1795
61 60 11077
62 6 6361
62 54 12195
62 59 7994
63 76 5481
64 51 1518
64 63 18034
65 81 12460
66 43 5585
67 41 8103
67 42 5516
67 77 15591
68 3 2623
68 14 6014
69 78 13450
70 82 1110
71 0 5416
72 13 9524
72 86 16535
73 88 6367
74 16 12459
74 92 9707
75 23 7577
75 38 15041
75 69 16506
76 65 4328
77 5 15163
77 18 16508
77 84 16480
77 86 11095
78 37 15269
78 75 13369
79 57 16106
80 53 17276
80 63 1844
80 64 16359
80 65 8995
80 76 5872
81 76 16786
81 88 9703
82 28 5583
83 25 10625
83 28 16986
83 33 10409
83 39 11438
84 19 20417
85 12 9552
85 15 9907
86 5 8562
86 41 11339
87 27 5213
87 85 8007
88 32 7885
88 90 6562
89 16 27983
89 96 4990
89 99 6173
90 41 13346
91 49 10238
91 68 8294
92 16 21101
92 79 18501
93 0 8586
93 4 6502
93 98 4511
94 27 8727
95 53 4062
96 99 9045
97 55 13948
97 69 14014
98 4 10819
98 32 11629
98 35 1367
98 45 11403
99 27 4355
99 43 3450
